com.samsung.shealth.activity.day_summary,6267007,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,4832,,3093673,90,0,,2022-10-17 04:55:05.897,,2022-10-16 07:07:47.311,,,,-1,360000,56,,,,3622.1794,,181.25,bc078b34-bba9-4534-b062-8460d1d3e22b.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,3093673,33600000,bc078b34-bba9-4534-b062-8460d1d3e22b,1665878400000,
,,,,452,,301484,90,0,,2022-10-18 06:26:52.929,,2022-10-17 07:00:55.277,,,,-1,29348,5,,,,337.0,,16.54,cbf4c0ac-e4cf-44f8-bbcd-fd87160d7f8b.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,301484,29160000,cbf4c0ac-e4cf-44f8-bbcd-fd87160d7f8b,1665964800000,
,,,,3208,,1999462,90,0,,2022-10-19 05:14:28.959,,2022-10-18 07:00:00.576,,,,-1,300000,36,,,,2443.6794,,116.08998,469d740c-e53b-4271-8e37-91591fb70fc3.extra_data.json,1Aysn0n5s3,14800,com.sec.android.app.shealth,1984662,38400000,469d740c-e53b-4271-8e37-91591fb70fc3,1666051200000,
,,,,2075,,1378525,90,0,,2022-10-20 06:59:09.643,,2022-10-19 07:00:00.630,,,,-1,60000,24,,,,1565.37,,76.130005,46d9e6bb-60ae-4f19-8a8b-c39518bdf93e.extra_data.json,1Aysn0n5s3,1200,com.sec.android.app.shealth,1377325,25260000,46d9e6bb-60ae-4f19-8a8b-c39518bdf93e,1666137600000,
,,,,10311,,6568816,90,0,,2022-10-21 06:56:49.825,,2022-10-20 07:00:00.477,,,,-1,659825,121,,,,7800.1914,,389.83466,f2b5ed66-61cd-476b-a807-0f3c6cafd9c7.extra_data.json,1Aysn0n5s3,18400,com.sec.android.app.shealth,6550416,27660000,f2b5ed66-61cd-476b-a807-0f3c6cafd9c7,1666224000000,
,,,,10246,,6358691,90,0,,2022-10-22 07:00:25.479,,2022-10-21 07:00:00.531,,,,-1,780000,116,,,,7809.4473,,381.7081,f28f9435-bc99-4858-9cb5-4f30383a5bd4.extra_data.json,1Aysn0n5s3,5496,com.sec.android.app.shealth,6353195,29760000,f28f9435-bc99-4858-9cb5-4f30383a5bd4,1666310400000,
,,,,8275,,5098440,90,0,,2022-10-23 06:53:11.060,,2022-10-22 07:00:25.391,,,,-1,540000,93,,,,6304.48,,304.67987,60a18975-a2d6-4538-a9ed-4848afdb5075.extra_data.json,1Aysn0n5s3,14482,com.sec.android.app.shealth,5083958,33180000,60a18975-a2d6-4538-a9ed-4848afdb5075,1666396800000,
,,,,2974,,1979653,90,0,,2022-10-24 06:11:23.589,,2022-10-23 07:46:02.785,,,,-1,60000,35,,,,2283.1401,,102.57002,f191f4dc-d7c1-4d9a-937d-0a506001b99e.extra_data.json,1Aysn0n5s3,6000,com.sec.android.app.shealth,1973653,26580000,f191f4dc-d7c1-4d9a-937d-0a506001b99e,1666483200000,
,,,,2502,,1500093,90,0,,2022-10-25 05:53:53.179,,2022-10-24 07:04:30.531,,,,-1,420000,26,,,,1899.5001,,91.47997,4680e4d3-e58c-4c85-9d61-7afa7d54661f.extra_data.json,1Aysn0n5s3,400,com.sec.android.app.shealth,1499693,21540000,4680e4d3-e58c-4c85-9d61-7afa7d54661f,1666569600000,
,,,,1586,,1056527,90,0,,2022-10-26 06:59:24.508,,2022-10-25 07:02:04.012,,,,-1,45355,18,,,,1188.38,,59.35,e8d43f8c-94c2-4ce0-b115-60416dac3bac.extra_data.json,1Aysn0n5s3,2000,com.sec.android.app.shealth,1054527,18060000,e8d43f8c-94c2-4ce0-b115-60416dac3bac,1666656000000,
,,,,11019,,7076436,90,0,,2022-10-27 07:02:13.005,,2022-10-26 07:01:31.633,,,,-1,900000,130,,,,8241.342,,417.02002,175961a0-e90f-4c83-9d7d-2256b4a2edb4.extra_data.json,1Aysn0n5s3,2400,com.sec.android.app.shealth,7074036,23160000,175961a0-e90f-4c83-9d7d-2256b4a2edb4,1666742400000,
,,,,750,,499716,90,0,,2022-10-28 06:08:17.978,,2022-10-27 07:00:01.584,,,,-1,28681,8,,,,564.44995,,27.840006,d328b718-3caa-4ba6-8446-3c5a3e74542f.extra_data.json,1Aysn0n5s3,800,com.sec.android.app.shealth,498916,42720000,d328b718-3caa-4ba6-8446-3c5a3e74542f,1666828800000,
,,,,12150,,7481291,90,0,,2022-10-29 06:51:30.236,,2022-10-28 07:09:04.705,,,,-1,840000,137,,,,9378.624,,417.0799,3a47c418-2fd7-4039-9b8a-ce11d0031a32.extra_data.json,1Aysn0n5s3,4614,com.sec.android.app.shealth,7476677,29160000,3a47c418-2fd7-4039-9b8a-ce11d0031a32,1666915200000,
,,,,9052,,5709913,90,0,,2022-10-30 06:35:02.966,,2022-10-29 07:01:03.370,,,,-1,839944,105,,,,6846.6987,,349.3688,6d2a235c-3b23-45aa-ab90-d8ae82f42853.extra_data.json,1Aysn0n5s3,8110,com.sec.android.app.shealth,5701803,22140000,6d2a235c-3b23-45aa-ab90-d8ae82f42853,1667001600000,
,,,,8646,,5278411,90,0,,2022-10-31 06:03:52.762,,2022-10-30 07:00:00.447,,,,-1,720000,96,,,,6503.579,,331.85986,b8607001-1f80-4f1d-8bf4-be7d86fce6f7.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,5278411,29340000,b8607001-1f80-4f1d-8bf4-be7d86fce6f7,1667088000000,
,,,,867,,578289,90,0,,2022-11-01 06:55:02.283,,2022-10-31 07:00:00.523,,,,-1,40687,10,,,,647.10004,,32.200005,5480f9ab-72c7-4b69-a41e-43e93de04cb3.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,578289,23280000,5480f9ab-72c7-4b69-a41e-43e93de04cb3,1667174400000,
,,,,5350,,3339577,90,0,,2022-11-02 05:56:41.922,,2022-11-01 07:00:00.596,,,,-1,720000,61,,,,4124.5054,,196.47198,5e512af2-df4a-41a5-abbf-c8ea5fb46f45.extra_data.json,1Aysn0n5s3,2000,com.sec.android.app.shealth,3337577,19620000,5e512af2-df4a-41a5-abbf-c8ea5fb46f45,1667260800000,
,,,,895,,596965,90,0,,2022-11-03 06:21:29.832,,2022-11-02 07:00:01.583,,,,-1,60000,10,,,,658.62994,,33.79999,137335bf-f851-4843-98f9-0cc6af70e445.extra_data.json,1Aysn0n5s3,0,com.sec.android.app.shealth,596965,39000000,137335bf-f851-4843-98f9-0cc6af70e445,1667347200000,
,,,,5486,,3500317,90,0,,2022-11-04 07:07:06.581,,2022-11-03 07:00:00.506,,,,-1,540000,64,,,,4150.199,,206.06993,5faf3073-c61e-425c-b8b0-a04acd00ce81.extra_data.json,1Aysn0n5s3,7459,com.sec.android.app.shealth,3492858,34680000,5faf3073-c61e-425c-b8b0-a04acd00ce81,1667433600000,
,,,,4114,,2581640,90,0,,2022-11-05 06:55:55.377,,2022-11-04 07:00:00.586,,,,-1,300000,47,,,,3107.8696,,151.96999,01c4dfc3-e307-4f45-a1fa-4a714a43c8cf.extra_data.json,1Aysn0n5s3,800,com.sec.android.app.shealth,2580840,15840000,01c4dfc3-e307-4f45-a1fa-4a714a43c8cf,1667520000000,
